Pattern Name,Category,Component use,Description,Example,Placeholder example,Subcategory
Zero-Shot Prompting,In-context Learning,Directive,Provide no examples to guide the task.,"Translate English to French. 

Example:
Input: Night
Output: Nuit

Now apply to:
Morning","Instruction: {QUESTION}
Input data: {INPUT_DATA}

",Zero-shot
Few-Shot Prompting,In-context Learning,"Directive, Examples",Provide a few exemplar input-output pairs to guide the model.,"Translate English to French.

Examples:
Input: Night
Output: Nuit
Input: Morning
Output: Matin
Input: Fall
Output: Automne

Now apply to:
Winter","Instruction: {QUESTION}
Examples:
Input: {EXAMPLE_INPUT_1}
Output: {EXAMPLE_OUTPUT_1}
Input: {EXAMPLE_INPUT_2}  Output: {EXAMPLE_OUTPUT_2}

Now apply to: {INPUT_DATA}
",Few-shot
Chain-of-Thought (CoT),Reasoning,Procedural Steps,Encourage step-by-step reasoning before final answer.,"Let’s think step by step.

Solve the following math problem:

Roger has 5 apples and gives 2 to Josh and 1 to Jane. How much is left?","Let’s think step by step.

{QUESTION}
{INPUT_DATA}
",Chain-of-Thought
Complex CoT,Reasoning,Procedural Steps,Generate multiple reasoning chains and prefer answers supported by the most complex and detailed chains.,"Solve the following problem step by step. Generate multiple reasoning paths, making each as detailed as possible.
Among the most complex and detailed paths, take the majority answer as the final answer.

Solve the following math problem:

{QUESTION}
{INPUT_DATA}","Generate {PATH_COUNT} detailed reasoning paths for the following question.
Prioritize the most complex and detailed paths, then use their majority answer as the final answer.

{QUESTION}
{INPUT_DATA}",Chain-of-Thought
Structured CoT (SCoT),Reasoning,"Output Format/Style, Procedural Steps","Structure reasoning with program-like constructs (loops, branches).","Sequencing: Initialize sum = 0
Looping: FOR i=1..10 IF i is even THEN sum += i
End with final answer.
","Use structured reasoning constructs:
- Sequencing: {STEP_1}, {STEP_2}, …
- Branching: IF {CONDITION} THEN {ACTION}
- Looping: FOR {ITEM} IN {SET} DO {ACTION}
End with final answer.

{QUESTION}
{INPUT_DATA}",Chain-of-Thought
Plan-and-Solve (PS / PS+),Reasoning,Procedural Steps,"First plan sub-problems, then solve them step by step.","First, generate a clear plan outlining the steps needed to solve the problem.
Then, follow the plan step by step to produce the final answer.

Question:
If a train travels 120 km in 2 hours, and then 180 km in 3 hours, what is its average speed across the whole trip?
","Step 1: Generate a high-level plan of solution steps: {PLAN}
Step 2: Execute each step in order.
Step 3: Produce final answer.

{QUESTION}
{INPUT_DATA}",Planning
Least-to-Most,Reasoning,Procedural Steps,"Decompose into easiest sub-problems first, then harder ones.","Solve the following problem step by step. First, decompose the problem into smaller subproblems.
Then, solve each subproblem in sequence.
Finally, combine the solutions to produce the final answer.

Question:
A school cafeteria has 312 apples. They want to distribute them equally to 24 students. Each student eats 2 apples, and the rest are saved. How many apples are saved?

","{QUESTION}
{INPUT_DATA}

Decompose problem into simpler subproblems: {SUBPROBLEM_1}, {SUBPROBLEM_2}, …

Solve each subproblem in sequence.

Combine subproblem solutions into final answer.
",Decomposition
Role / Persona Prompting,Context Control,"Context, Output Format/Style, Profile/Role",Adopt a role/persona to shape style/voice.,"Act as a helpful math tutor.
Provide outputs that a helpful math tutor would create

Explain how to solve the following equation step by step:
2x + 5 = 15","Act as {PERSONA}
Provide outputs that {PERSONA} would create

{QUESTION}
{INPUT_DATA}
",Role & perspective
Reverse CoT,Reasoning,Procedural Steps,"Generate reasoning steps after giving the answer, to simulate justification.","Please answer the question.
First, state the final answer directly.
Then, explain the reasoning that justifies your answer.
 “The answer is 57. Reasoning: Because 23+47…”","{QUESTION}
{INPUT_DATA}

First, output the final answer only.
Then, generate the reasoning steps that justify the answer.
",Chain-of-Thought
SelfVerification,Output Control,"Constraints, Procedural Steps",Model checks and verifies its own answers before finalizing.,"Step 1: Generate an initial answer.
Step 2: Verify whether the answer satisfies the requirements.
Step 3: If verification fails, explain the issues.
Final Answer: {final answer}

Question:
What is the capital of Australia?
Final Answer: Canberra
","Step 1: Generate an initial answer: {ANSWER_1}

Step 2: Verify whether {ANSWER_1} satisfies constraints: {CONSTRAINTS}

Step 3: If verification fails, explain issue and correct.

Final Answer = {VERIFIED_ANSWER}

{{QUESTION}
{INPUT_DATA}",Verification
SelfCalibration,Output Control,"Constraints, Procedural Steps","After answering, the model estimates its confidence that the answer is correct and revises or abstains when that confidence is low.","Answer the question. Then state your confidence from 0–100% that the answer is correct, with a one-line justification. If your confidence is below 60%, revise your answer or say you are not sure.

Question: What is the boiling point of water at the summit of Mount Everest?","Answer the question: {QUESTION}
Then state your confidence (0–100%) that the answer is correct, with a brief justification.
If confidence is below {THRESHOLD}, revise or abstain.",Verification
FactCheckList,Output Control,"Constraints, Procedural Steps",Use a checklist to confirm factual accuracy of the output.,"Extract facts from output: {Capital of Australia = Canberra}

Insert fact list at end of answer

Ensure facts are fundamental to correctness.
","Extract facts from output: {FACT_1}, {FACT_2}, …

Insert fact list at {OUTPUT_LOCATION}

Ensure facts are fundamental to correctness.

{QUESTION}
{INPUT_DATA}",Verification
Reflection,Output Control,"Constraints, Procedural Steps","Model reflects on its first output, critiques, and improves it.","Whenever you generate an answer
Explain the reasoning and assumptions behind your
answer
(Optional) ...so that I can improve my question","Step 1: Generate initial answer: {ANSWER_1}
Step 2: Critique reasoning and assumptions in {ANSWER_1}
Step 3: Revise output based on critique.
Final Answer = {ANSWER_REVISED}


{QUESTION}
{INPUT_DATA}",Verification
OutputAutomater,Output Control,Output Format/Style,"The model outputs an executable artifact (typically a script) that automates the steps it recommends, instead of only describing them.","Whenever your response includes steps a user would otherwise carry out by hand, also output a runnable Bash script that performs those steps automatically.

Task: set up a Python virtual environment and install the project's dependencies.","Whenever your output contains at least one manual step, generate an executable {LANGUAGE} script that automates those steps.

Task: {TASK}",Output formatting
Recipe,Output Control,"Directive, Procedural Steps",Provide a repeatable recipe-style sequence for solving tasks.,"List ordered steps: STEP_1 = Preheat oven, STEP_2 = Mix flour and sugar, STEP_3 = Bake for 30 minutes
Fill in missing steps if necessary.
Identify unnecessary steps if present.
","I would like to achieve {INPUT_DATA}.
Provide a complete sequence of steps for me.
Fill in any missing steps.
Identify any unnecessary steps.
",Procedural
Template,Output Control,"Directive, Output Format/Style",Use a reusable template to structure answers consistently.,,"Use template: {TEMPLATE}

Insert content into placeholders: {PLACEHOLDER_1}, {PLACEHOLDER_2}, …

Preserve formatting of template.

{QUESTION}
{INPUT_DATA}",Output formatting
