raw_id,raw_name,source_key,source_section,normalized_name,canonical_key,canonical_final_name,concept_summary,status,status_reason
1,Meta Language Creation,white2023,Input Semantics,meta language creation,meta_language_creation,,Define custom shorthand notation/semantics for the LLM to use in the rest of the conversation.,EXCLUDED_OUT_OF_SCOPE,Writable single-prompt pattern but not selected in final curated 29; Input-Semantics category not represented in final sheet.
2,Output Automater,white2023,Output Customization,output automater,output_automater,OutputAutomater,Have the LLM generate a script/artifact that automates any steps it recommends in its output.,INCLUDED,Exact name+concept source pattern (White).
3,Persona,white2023,Output Customization,persona,persona,Role / Persona Prompting,"Give the LLM a persona/role to adopt, shaping the style and focus of its output.",INCLUDED,Exact concept source pattern (White); name extended to 'Role / Persona Prompting' in final sheet via Pass-3 merge with Schulhoff's 'Role Prompting'.
4,Visualization Generator,white2023,Output Customization,visualization generator,visualization_generator,VisualizationGenerator,"Generate textual input (e.g. Graphviz DOT, DALL-E prompt) for another tool to render a visualization.",INCLUDED,Exact concept source pattern (White); American spelling used in final sheet.
5,Recipe,white2023,Output Customization,recipe,recipe,Recipe,"Given a goal and partial known steps, have the LLM produce the complete ordered sequence, filling/flagging steps.",INCLUDED,Exact name+concept source pattern (White).
6,Template,white2023,Output Customization,template,template,Template,Provide a literal template with placeholders; LLM inserts generated content and preserves structure.,INCLUDED,Exact name+concept source pattern (White).
7,Fact Check List,white2023,Error Identification,fact check list,fact_check_list,FactCheckList,"LLM generates a list of facts the output depends on, placed at a specific point, for user verification.",INCLUDED,Exact concept source pattern (White).
8,Reflection,white2023,Error Identification,reflection,reflection,Reflection,LLM automatically explains the reasoning/assumptions behind its own answer after producing it.,INCLUDED,Exact name+concept source pattern (White).
9,Question Refinement,white2023,Prompt Improvement,question refinement,question_refinement,Question Refinement,LLM always suggests a better/more refined version of the user's question within a given scope.,INCLUDED,Exact name+concept source pattern (White).
10,Alternative Approaches,white2023,Prompt Improvement,alternative approaches,alternative_approaches,Alternative Approaches,"LLM always lists alternative ways to accomplish the same task, optionally with pros/cons.",INCLUDED,Exact name+concept source pattern (White).
11,Cognitive Verifier,white2023,Prompt Improvement,cognitive verifier,cognitive_verifier,CognitiveVerifier,"LLM subdivides a question into clarifying sub-questions, then combines answers into the final answer.",INCLUDED,Exact concept source pattern (White).
